point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000148,35.954235251,41.620050238,3.004508487,-9.875444254,-1.564764001,-2.095984023,ABS,T3
point-0000149,36.217487420,38.170565355,3.824693173,-11.613614163,-1.556655217,-2.051822356,ABS,T3
point-0000150,36.451226572,34.957837308,4.882897330,-12.536235698,-1.544867554,-2.025295507,ABS,T3
point-0000151,36.662276762,32.060328345,6.144719403,-12.721270672,-1.530042409,-2.017454320,ABS,T3
point-0000152,36.862773953,29.442474985,7.588168298,-12.392482167,-1.512010510,-2.024222941,ABS,T3
point-0000153,37.058370656,27.091986147,9.177655234,-11.646292290,-1.491393405,-2.044669524,ABS,T3
point-0000154,37.252503929,25.009686699,10.872396918,-10.518631702,-1.469107183,-2.079644491,ABS,T3
point-0000155,37.448511810,23.136659341,12.659076583,-9.124415304,-1.444975880,-2.126166084,ABS,T3
point-0000156,37.647171321,21.455006066,14.510361266,-7.504369764,-1.419791779,-2.184158523,ABS,T3
point-0000157,37.848714813,19.955069343,16.400471411,-5.683072471,-1.394581069,-2.254360397,ABS,T3
point-0000158,38.053004357,18.594067381,18.331234709,-3.731143753,-1.369110576,-2.334211393,ABS,T3
point-0000159,38.259052978,17.368037870,20.288814335,-1.677527090,-1.344499341,-2.424182784,ABS,T3
point-0000160,38.465921796,16.272848065,22.268918057,0.445809375,-1.321765376,-2.524601917,ABS,T3
point-0000161,38.673209681,15.285488272,24.287256300,2.595063084,-1.299998884,-2.632444273,ABS,T3
point-0000162,38.879667108,14.415643569,26.341434409,4.743149000,-1.280349452,-2.748294327,ABS,T3
point-0000163,39.084841404,13.671077124,28.435925912,6.871631279,-1.263224023,-2.872084602,ABS,T3
point-0000164,39.289575428,13.052944006,30.567881422,8.993842794,-1.247238667,-3.002198084,ABS,T3
point-0000165,39.493128226,12.574444959,32.729541642,11.096425890,-1.233560879,-3.140179274,ABS,T3
point-0000166,39.695983040,12.244068324,34.909298769,13.193632862,-1.222210359,-3.286984225,ABS,T3
point-0000167,39.898281348,12.057447568,37.092924149,15.292439452,-1.213547193,-3.443949657,ABS,T3
point-0000168,40.097933180,12.000000000,39.300009891,17.315843634,-1.210279180,-3.612831411,ABS,T3
point-0000169,40.128725772,12.600707456,38.748933434,18.621954154,-1.176217964,-3.610801192,,
point-0000170,40.332633256,12.647918644,36.761880563,16.297195904,-1.182755937,-3.432449928,PLA,T0
point-0000171,40.539573108,12.807320476,34.776608435,13.916290892,-1.195376829,-3.268863451,PLA,T0
point-0000172,40.746402670,13.101749304,32.763076316,11.574463549,-1.210727520,-3.117834467,PLA,T0
point-0000173,40.953313923,13.538417822,30.736458742,9.264722919,-1.228349847,-2.977683833,PLA,T0
point-0000174,41.160509781,14.113499182,28.710948407,6.978707359,-1.247750579,-2.846721540,PLA,T0
point-0000175,41.367396694,14.814682978,26.699227475,4.722202542,-1.267890788,-2.723160351,PLA,T0
